"goal","condition","diet_type","foods","avoid","hydration","meal_tip"
"heart health","osteoporosis","calorie surplus","avocado toast and eggs","fast food","4l water","consume healthy fats moderately"
"mobility improvement","knee pain","balanced diet","tofu and quinoa","sugary drinks","3.5l water","reduce processed food intake"
"endurance building","shoulder pain","high fiber","millets and vegetables","deep fried food","3l water","avoid late night eating"
"endurance building","wrist pain","diabetic friendly","tofu and quinoa","fast food","2.5l water","avoid late night eating"
"core stability","carpal tunnel syndrome","balanced diet","sweet potato and fish","junk food","4l water","eat smaller meals frequently"
"endurance building","carpal tunnel syndrome","low sodium","millets and vegetables","processed snacks","electrolyte hydration","reduce processed food intake"
"heart health","plantar fasciitis","high fiber","chickpeas and salad","deep fried food","electrolyte hydration","eat slowly and mindfully"
"mobility improvement","hamstring strain","diabetic friendly","brown rice and chicken","excess sugar","2.5l water","reduce processed food intake"
"heart health","obesity","high protein","banana and peanut butter","deep fried food","electrolyte hydration","include vegetables in every meal"
"endurance building","knee pain","high hydration","avocado toast and eggs","excess sugar","electrolyte hydration","consume healthy fats moderately"
"lean muscle","hip pain","high fiber","greek yogurt and berries","excess salt","2.5l water","reduce processed food intake"
"core stability","knee pain","calorie deficit","paneer and chapati","fast food","electrolyte hydration","eat slowly and mindfully"
"weight loss","neck stiffness","low carb","greek yogurt and berries","soft drinks","3l water","maintain consistent meal timing"
"weight loss","ankle pain","diabetic friendly","grilled chicken and broccoli","soft drinks","electrolyte hydration","prefer home cooked meals"
"lean muscle","shoulder pain","diabetic friendly","banana and peanut butter","processed snacks","3l water","reduce processed food intake"
"weight loss","wrist pain","high hydration","banana and peanut butter","deep fried food","3.5l water","reduce processed food intake"
"strength building","sciatica","calorie deficit","banana and peanut butter","sugary drinks","4l water","eat smaller meals frequently"
"endurance building","sciatica","high hydration","tofu and quinoa","soft drinks","4l water","include vegetables in every meal"
"heart health","carpal tunnel syndrome","low sodium","banana and peanut butter","alcohol","electrolyte hydration","eat slowly and mindfully"
"fat loss","elbow pain","diabetic friendly","grilled chicken and broccoli","excess sugar","electrolyte hydration","track calorie intake"
"fat loss","shoulder pain","low sodium","paneer and chapati","fast food","2.5l water","consume healthy fats moderately"
"mobility improvement","obesity","balanced diet","lentils and rice","soft drinks","4l water","reduce processed food intake"
"endurance building","neck stiffness","calorie surplus","millets and vegetables","excess sugar","3l water","increase protein intake"
"weight loss","osteoporosis","balanced diet","chickpeas and salad","processed snacks","3l water","avoid late night eating"
"mobility improvement","asthma","high fiber","boiled eggs and spinach","excess salt","3.5l water","track calorie intake"
"lean muscle","high blood pressure","high protein","salmon and vegetables","junk food","2.5l water","avoid late night eating"
"weight loss","hip pain","balanced diet","salmon and vegetables","processed snacks","4l water","increase protein intake"
"core stability","shoulder pain","low sodium","sweet potato and fish","excess salt","electrolyte hydration","include vegetables in every meal"
"muscle gain","hamstring strain","high hydration","chickpeas and salad","excess salt","electrolyte hydration","consume healthy fats moderately"
"endurance building","knee pain","low sodium","oats and eggs","fast food","2.5l water","prefer home cooked meals"
"weight loss","sciatica","anti inflammatory","salmon and vegetables","sugary drinks","4l water","eat smaller meals frequently"
"lean muscle","diabetes","calorie surplus","tofu and quinoa","junk food","2.5l water","maintain consistent meal timing"
"strength building","elbow pain","balanced diet","grilled chicken and broccoli","deep fried food","4l water","consume healthy fats moderately"
"mobility improvement","hip pain","high protein","sweet potato and fish","soft drinks","3l water","maintain consistent meal timing"
"mobility improvement","asthma","diabetic friendly","avocado toast and eggs","excess salt","3l water","maintain consistent meal timing"
"endurance building","lower back pain","low sodium","chickpeas and salad","excess sugar","4l water","reduce processed food intake"
"lean muscle","osteoporosis","low sodium","boiled eggs and spinach","fast food","2.5l water","consume healthy fats moderately"
"strength building","elbow pain","calorie deficit","salmon and vegetables","soft drinks","3l water","avoid late night eating"
"heart health","obesity","anti inflammatory","chickpeas and salad","soft drinks","3.5l water","eat smaller meals frequently"
"mobility improvement","hip pain","high hydration","banana and peanut butter","processed snacks","3.5l water","reduce processed food intake"
"muscle gain","carpal tunnel syndrome","diabetic friendly","protein smoothie and nuts","processed snacks","2.5l water","include vegetables in every meal"
"endurance building","ankle pain","high fiber","millets and vegetables","deep fried food","2.5l water","reduce processed food intake"
"muscle gain","obesity","calorie deficit","oats and eggs","excess sugar","2.5l water","include vegetables in every meal"
"fat loss","hip pain","calorie deficit","boiled eggs and spinach","high sodium food","3l water","increase protein intake"
"mobility improvement","hamstring strain","low carb","greek yogurt and berries","alcohol","3.5l water","prefer home cooked meals"
"endurance building","neck stiffness","anti inflammatory","brown rice and chicken","excess sugar","electrolyte hydration","consume healthy fats moderately"
"heart health","knee pain","low sodium","tofu and quinoa","processed snacks","3.5l water","track calorie intake"
"mobility improvement","osteoporosis","high fiber","sweet potato and fish","deep fried food","3.5l water","eat smaller meals frequently"
"muscle gain","asthma","balanced diet","sweet potato and fish","soft drinks","4l water","increase protein intake"
"lean muscle","elbow pain","high protein","chickpeas and salad","junk food","2.5l water","avoid late night eating"
"fat loss","shin splints","calorie surplus","salmon and vegetables","high sodium food","electrolyte hydration","prefer home cooked meals"
"muscle gain","asthma","low sodium","chickpeas and salad","processed snacks","2.5l water","maintain consistent meal timing"
"fat loss","knee pain","low sodium","grilled chicken and broccoli","junk food","2.5l water","eat smaller meals frequently"
"fat loss","carpal tunnel syndrome","high fiber","salmon and vegetables","deep fried food","3.5l water","include vegetables in every meal"
"strength building","neck stiffness","balanced diet","greek yogurt and berries","soft drinks","2.5l water","consume healthy fats moderately"
"endurance building","wrist pain","anti inflammatory","avocado toast and eggs","deep fried food","3.5l water","prefer home cooked meals"
"core stability","carpal tunnel syndrome","diabetic friendly","chickpeas and salad","sugary drinks","3l water","track calorie intake"
"lean muscle","neck stiffness","balanced diet","paneer and chapati","excess salt","3l water","increase protein intake"
"mobility improvement","carpal tunnel syndrome","high hydration","protein smoothie and nuts","sugary drinks","3.5l water","increase protein intake"
"calorie burning","hip pain","calorie deficit","salmon and vegetables","fast food","4l water","reduce processed food intake"
"fat loss","obesity","diabetic friendly","paneer and chapati","soft drinks","electrolyte hydration","eat smaller meals frequently"
"strength building","wrist pain","low sodium","lentils and rice","excess salt","3.5l water","include vegetables in every meal"
"calorie burning","lower back pain","anti inflammatory","oats and eggs","alcohol","4l water","eat smaller meals frequently"
"heart health","plantar fasciitis","balanced diet","protein smoothie and nuts","alcohol","electrolyte hydration","consume healthy fats moderately"
"core stability","neck stiffness","high hydration","millets and vegetables","excess sugar","3l water","include vegetables in every meal"
"core stability","osteoporosis","high fiber","avocado toast and eggs","junk food","3l water","reduce processed food intake"
"lean muscle","obesity","calorie deficit","millets and vegetables","junk food","4l water","include vegetables in every meal"
"lean muscle","shoulder pain","low carb","greek yogurt and berries","processed snacks","3.5l water","eat smaller meals frequently"
"muscle gain","arthritis","calorie surplus","boiled eggs and spinach","deep fried food","2.5l water","track calorie intake"
"heart health","hamstring strain","anti inflammatory","sweet potato and fish","excess salt","3.5l water","eat slowly and mindfully"
"heart health","shin splints","diabetic friendly","salmon and vegetables","excess salt","electrolyte hydration","eat smaller meals frequently"
"endurance building","lower back pain","anti inflammatory","banana and peanut butter","excess salt","electrolyte hydration","maintain consistent meal timing"
"mobility improvement","elbow pain","calorie surplus","oats and eggs","deep fried food","3.5l water","prefer home cooked meals"
"endurance building","plantar fasciitis","high protein","boiled eggs and spinach","deep fried food","4l water","eat slowly and mindfully"
"core stability","hip pain","diabetic friendly","banana and peanut butter","fast food","2.5l water","consume healthy fats moderately"
"endurance building","sciatica","anti inflammatory","paneer and chapati","fast food","4l water","prefer home cooked meals"
"mobility improvement","sciatica","balanced diet","brown rice and chicken","soft drinks","4l water","maintain consistent meal timing"
"calorie burning","shin splints","balanced diet","chickpeas and salad","deep fried food","electrolyte hydration","increase protein intake"
"endurance building","plantar fasciitis","low sodium","chickpeas and salad","deep fried food","3.5l water","maintain consistent meal timing"
"weight loss","hip pain","diabetic friendly","oats and eggs","excess sugar","3l water","eat smaller meals frequently"
"heart health","shin splints","low sodium","millets and vegetables","processed snacks","3l water","increase protein intake"
"mobility improvement","sciatica","balanced diet","brown rice and chicken","soft drinks","3.5l water","avoid late night eating"
"weight loss","shoulder pain","high hydration","grilled chicken and broccoli","junk food","3.5l water","consume healthy fats moderately"
"mobility improvement","rotator cuff injury","balanced diet","paneer and chapati","junk food","4l water","consume healthy fats moderately"
"core stability","shoulder pain","low carb","boiled eggs and spinach","deep fried food","3l water","increase protein intake"
"calorie burning","ankle pain","high protein","lentils and rice","junk food","3.5l water","track calorie intake"
"endurance building","elbow pain","balanced diet","avocado toast and eggs","excess sugar","4l water","prefer home cooked meals"
"calorie burning","hip pain","balanced diet","brown rice and chicken","deep fried food","3l water","increase protein intake"
"fat loss","asthma","high protein","avocado toast and eggs","fast food","electrolyte hydration","increase protein intake"
"strength building","wrist pain","diabetic friendly","salmon and vegetables","deep fried food","3.5l water","reduce processed food intake"
"lean muscle","carpal tunnel syndrome","diabetic friendly","chickpeas and salad","deep fried food","2.5l water","avoid late night eating"
"heart health","knee pain","low carb","lentils and rice","deep fried food","electrolyte hydration","eat smaller meals frequently"
"core stability","diabetes","calorie deficit","greek yogurt and berries","soft drinks","3.5l water","track calorie intake"
"heart health","neck stiffness","balanced diet","boiled eggs and spinach","sugary drinks","3l water","reduce processed food intake"
"mobility improvement","asthma","calorie deficit","avocado toast and eggs","excess sugar","3l water","avoid late night eating"
"strength building","carpal tunnel syndrome","diabetic friendly","protein smoothie and nuts","sugary drinks","4l water","prefer home cooked meals"
"weight loss","obesity","balanced diet","millets and vegetables","excess salt","2.5l water","eat slowly and mindfully"
"heart health","hip pain","high fiber","boiled eggs and spinach","alcohol","4l water","eat slowly and mindfully"
"mobility improvement","shin splints","calorie surplus","banana and peanut butter","excess salt","2.5l water","eat smaller meals frequently"
"heart health","sciatica","diabetic friendly","chickpeas and salad","junk food","3.5l water","eat slowly and mindfully"
"muscle gain","arthritis","calorie surplus","boiled eggs and spinach","high sodium food","electrolyte hydration","include vegetables in every meal"
"fat loss","wrist pain","high hydration","chickpeas and salad","deep fried food","3.5l water","include vegetables in every meal"
"strength building","arthritis","balanced diet","avocado toast and eggs","sugary drinks","electrolyte hydration","consume healthy fats moderately"
"strength building","shoulder pain","calorie deficit","boiled eggs and spinach","deep fried food","2.5l water","reduce processed food intake"
"strength building","osteoporosis","diabetic friendly","avocado toast and eggs","fast food","3.5l water","include vegetables in every meal"
"strength building","knee pain","anti inflammatory","banana and peanut butter","soft drinks","electrolyte hydration","consume healthy fats moderately"
"endurance building","hip pain","high protein","salmon and vegetables","soft drinks","3l water","maintain consistent meal timing"
"lean muscle","osteoporosis","anti inflammatory","paneer and chapati","sugary drinks","3.5l water","eat slowly and mindfully"
"muscle gain","wrist pain","calorie deficit","boiled eggs and spinach","sugary drinks","electrolyte hydration","prefer home cooked meals"
"lean muscle","ankle pain","low sodium","sweet potato and fish","high sodium food","4l water","eat slowly and mindfully"
"fat loss","high blood pressure","diabetic friendly","oats and eggs","excess sugar","3.5l water","include vegetables in every meal"
"muscle gain","hamstring strain","balanced diet","millets and vegetables","high sodium food","2.5l water","increase protein intake"
"endurance building","lower back pain","diabetic friendly","avocado toast and eggs","fast food","electrolyte hydration","eat slowly and mindfully"
"fat loss","arthritis","anti inflammatory","oats and eggs","high sodium food","3l water","reduce processed food intake"
"strength building","neck stiffness","high fiber","lentils and rice","excess salt","2.5l water","reduce processed food intake"
"lean muscle","shoulder pain","high protein","sweet potato and fish","excess sugar","4l water","include vegetables in every meal"
"calorie burning","osteoporosis","anti inflammatory","tofu and quinoa","deep fried food","4l water","avoid late night eating"
"endurance building","shin splints","high fiber","tofu and quinoa","high sodium food","4l water","increase protein intake"
"calorie burning","arthritis","high hydration","salmon and vegetables","fast food","3.5l water","consume healthy fats moderately"
"calorie burning","lower back pain","calorie surplus","paneer and chapati","high sodium food","electrolyte hydration","increase protein intake"
"strength building","rotator cuff injury","anti inflammatory","paneer and chapati","soft drinks","4l water","include vegetables in every meal"
"endurance building","hip pain","high protein","lentils and rice","soft drinks","electrolyte hydration","include vegetables in every meal"
"mobility improvement","elbow pain","low carb","lentils and rice","sugary drinks","3.5l water","eat smaller meals frequently"
"strength building","ankle pain","high hydration","grilled chicken and broccoli","excess salt","3.5l water","include vegetables in every meal"
"muscle gain","knee pain","low carb","sweet potato and fish","soft drinks","electrolyte hydration","include vegetables in every meal"
"fat loss","high blood pressure","high protein","paneer and chapati","deep fried food","2.5l water","prefer home cooked meals"
"muscle gain","arthritis","diabetic friendly","grilled chicken and broccoli","excess sugar","electrolyte hydration","include vegetables in every meal"
"core stability","sciatica","balanced diet","tofu and quinoa","junk food","2.5l water","prefer home cooked meals"
"strength building","osteoporosis","calorie surplus","salmon and vegetables","fast food","3.5l water","eat smaller meals frequently"
"endurance building","knee pain","anti inflammatory","grilled chicken and broccoli","high sodium food","4l water","avoid late night eating"
"mobility improvement","lower back pain","high hydration","brown rice and chicken","soft drinks","2.5l water","increase protein intake"
"weight loss","osteoporosis","balanced diet","avocado toast and eggs","soft drinks","electrolyte hydration","avoid late night eating"
"calorie burning","lower back pain","high fiber","chickpeas and salad","junk food","3.5l water","track calorie intake"
"weight loss","knee pain","balanced diet","brown rice and chicken","deep fried food","3l water","reduce processed food intake"
"weight loss","osteoporosis","low carb","millets and vegetables","junk food","3l water","increase protein intake"
"weight loss","diabetes","high protein","greek yogurt and berries","deep fried food","3l water","consume healthy fats moderately"
"core stability","high blood pressure","low sodium","chickpeas and salad","excess salt","2.5l water","increase protein intake"
"fat loss","hamstring strain","high fiber","paneer and chapati","sugary drinks","3.5l water","include vegetables in every meal"
"lean muscle","osteoporosis","calorie deficit","brown rice and chicken","sugary drinks","2.5l water","track calorie intake"
"heart health","ankle pain","low sodium","lentils and rice","alcohol","electrolyte hydration","reduce processed food intake"
"strength building","carpal tunnel syndrome","low carb","lentils and rice","junk food","4l water","reduce processed food intake"
"core stability","neck stiffness","high protein","lentils and rice","fast food","electrolyte hydration","prefer home cooked meals"
"weight loss","rotator cuff injury","low sodium","salmon and vegetables","sugary drinks","electrolyte hydration","eat slowly and mindfully"
"heart health","sciatica","low sodium","chickpeas and salad","alcohol","3.5l water","consume healthy fats moderately"
"fat loss","high blood pressure","anti inflammatory","salmon and vegetables","alcohol","2.5l water","include vegetables in every meal"
"muscle gain","carpal tunnel syndrome","high hydration","paneer and chapati","excess salt","4l water","increase protein intake"
"calorie burning","sciatica","calorie surplus","grilled chicken and broccoli","processed snacks","4l water","eat smaller meals frequently"
"mobility improvement","asthma","low carb","paneer and chapati","excess sugar","3.5l water","avoid late night eating"
"calorie burning","osteoporosis","balanced diet","sweet potato and fish","alcohol","2.5l water","maintain consistent meal timing"
"endurance building","shin splints","calorie surplus","boiled eggs and spinach","excess salt","electrolyte hydration","reduce processed food intake"
"strength building","wrist pain","balanced diet","salmon and vegetables","fast food","4l water","increase protein intake"
"core stability","rotator cuff injury","calorie deficit","lentils and rice","sugary drinks","electrolyte hydration","maintain consistent meal timing"
"lean muscle","elbow pain","diabetic friendly","boiled eggs and spinach","fast food","3.5l water","track calorie intake"
"heart health","knee pain","anti inflammatory","boiled eggs and spinach","excess salt","electrolyte hydration","eat smaller meals frequently"
"calorie burning","knee pain","high fiber","chickpeas and salad","soft drinks","4l water","reduce processed food intake"
"core stability","neck stiffness","high hydration","paneer and chapati","alcohol","2.5l water","eat slowly and mindfully"
"weight loss","plantar fasciitis","calorie deficit","lentils and rice","excess sugar","3l water","prefer home cooked meals"
"calorie burning","obesity","diabetic friendly","protein smoothie and nuts","soft drinks","electrolyte hydration","prefer home cooked meals"
"muscle gain","shoulder pain","anti inflammatory","millets and vegetables","alcohol","4l water","prefer home cooked meals"
"core stability","lower back pain","low carb","protein smoothie and nuts","soft drinks","2.5l water","consume healthy fats moderately"
"heart health","high blood pressure","high fiber","boiled eggs and spinach","fast food","4l water","eat slowly and mindfully"
"weight loss","rotator cuff injury","calorie deficit","brown rice and chicken","deep fried food","electrolyte hydration","maintain consistent meal timing"
"heart health","shoulder pain","high protein","protein smoothie and nuts","excess sugar","electrolyte hydration","increase protein intake"
"endurance building","neck stiffness","high fiber","salmon and vegetables","processed snacks","3l water","increase protein intake"
"lean muscle","elbow pain","balanced diet","banana and peanut butter","fast food","electrolyte hydration","prefer home cooked meals"
"weight loss","arthritis","anti inflammatory","chickpeas and salad","excess sugar","electrolyte hydration","avoid late night eating"
"lean muscle","hamstring strain","low carb","salmon and vegetables","excess sugar","electrolyte hydration","include vegetables in every meal"
"fat loss","rotator cuff injury","calorie surplus","chickpeas and salad","fast food","2.5l water","maintain consistent meal timing"
"weight loss","diabetes","low sodium","oats and eggs","soft drinks","electrolyte hydration","eat smaller meals frequently"
"mobility improvement","hip pain","diabetic friendly","lentils and rice","excess salt","3.5l water","include vegetables in every meal"
"heart health","rotator cuff injury","high hydration","brown rice and chicken","high sodium food","4l water","consume healthy fats moderately"
"calorie burning","lower back pain","high hydration","greek yogurt and berries","excess salt","3.5l water","eat smaller meals frequently"
"calorie burning","shoulder pain","calorie deficit","lentils and rice","deep fried food","3.5l water","increase protein intake"
"muscle gain","arthritis","calorie surplus","tofu and quinoa","alcohol","electrolyte hydration","include vegetables in every meal"
"fat loss","diabetes","high fiber","lentils and rice","alcohol","3.5l water","eat smaller meals frequently"
"heart health","sciatica","calorie surplus","banana and peanut butter","sugary drinks","3.5l water","eat smaller meals frequently"
"heart health","elbow pain","diabetic friendly","lentils and rice","junk food","3l water","maintain consistent meal timing"
"endurance building","ankle pain","low sodium","avocado toast and eggs","deep fried food","electrolyte hydration","include vegetables in every meal"
"endurance building","hip pain","balanced diet","tofu and quinoa","deep fried food","electrolyte hydration","reduce processed food intake"
"endurance building","arthritis","diabetic friendly","boiled eggs and spinach","soft drinks","3l water","increase protein intake"
"core stability","ankle pain","anti inflammatory","grilled chicken and broccoli","excess salt","2.5l water","prefer home cooked meals"
"muscle gain","sciatica","high hydration","salmon and vegetables","deep fried food","2.5l water","include vegetables in every meal"
"lean muscle","osteoporosis","diabetic friendly","lentils and rice","sugary drinks","3l water","increase protein intake"
"core stability","elbow pain","high fiber","oats and eggs","junk food","2.5l water","include vegetables in every meal"
"muscle gain","plantar fasciitis","high hydration","brown rice and chicken","junk food","electrolyte hydration","maintain consistent meal timing"
"heart health","hamstring strain","calorie surplus","greek yogurt and berries","sugary drinks","3.5l water","eat slowly and mindfully"
"muscle gain","hamstring strain","calorie deficit","chickpeas and salad","alcohol","4l water","reduce processed food intake"
"weight loss","diabetes","high hydration","sweet potato and fish","excess salt","electrolyte hydration","maintain consistent meal timing"
"strength building","hip pain","low sodium","salmon and vegetables","excess sugar","electrolyte hydration","increase protein intake"
"muscle gain","ankle pain","diabetic friendly","brown rice and chicken","junk food","3.5l water","track calorie intake"
"core stability","carpal tunnel syndrome","low carb","chickpeas and salad","junk food","3.5l water","increase protein intake"
"muscle gain","high blood pressure","calorie deficit","millets and vegetables","junk food","2.5l water","eat smaller meals frequently"
"strength building","rotator cuff injury","calorie deficit","greek yogurt and berries","high sodium food","3.5l water","maintain consistent meal timing"
"strength building","arthritis","diabetic friendly","brown rice and chicken","junk food","3.5l water","eat smaller meals frequently"
"muscle gain","osteoporosis","calorie deficit","banana and peanut butter","processed snacks","3.5l water","increase protein intake"
"muscle gain","plantar fasciitis","high hydration","avocado toast and eggs","junk food","2.5l water","consume healthy fats moderately"
"endurance building","asthma","diabetic friendly","oats and eggs","fast food","electrolyte hydration","increase protein intake"
"strength building","diabetes","high protein","grilled chicken and broccoli","junk food","2.5l water","include vegetables in every meal"
"fat loss","carpal tunnel syndrome","high hydration","avocado toast and eggs","excess sugar","3l water","increase protein intake"
"fat loss","hamstring strain","low carb","oats and eggs","high sodium food","3.5l water","avoid late night eating"
"strength building","high blood pressure","balanced diet","grilled chicken and broccoli","fast food","3l water","prefer home cooked meals"
"heart health","knee pain","low carb","tofu and quinoa","deep fried food","3l water","eat slowly and mindfully"
"strength building","high blood pressure","calorie surplus","protein smoothie and nuts","sugary drinks","4l water","track calorie intake"
"endurance building","carpal tunnel syndrome","high hydration","salmon and vegetables","fast food","electrolyte hydration","reduce processed food intake"
"fat loss","rotator cuff injury","calorie surplus","protein smoothie and nuts","deep fried food","3l water","avoid late night eating"
"heart health","rotator cuff injury","balanced diet","avocado toast and eggs","soft drinks","4l water","track calorie intake"
"weight loss","lower back pain","diabetic friendly","sweet potato and fish","alcohol","4l water","reduce processed food intake"
"mobility improvement","rotator cuff injury","anti inflammatory","banana and peanut butter","sugary drinks","4l water","eat slowly and mindfully"
"mobility improvement","elbow pain","anti inflammatory","boiled eggs and spinach","excess salt","3.5l water","eat smaller meals frequently"
"calorie burning","sciatica","high fiber","sweet potato and fish","sugary drinks","3.5l water","track calorie intake"
"strength building","hip pain","high fiber","lentils and rice","fast food","4l water","eat smaller meals frequently"
"weight loss","high blood pressure","calorie surplus","paneer and chapati","sugary drinks","2.5l water","consume healthy fats moderately"
"endurance building","ankle pain","calorie deficit","protein smoothie and nuts","fast food","electrolyte hydration","reduce processed food intake"
"core stability","arthritis","high protein","millets and vegetables","excess sugar","3.5l water","avoid late night eating"
"weight loss","knee pain","low carb","greek yogurt and berries","alcohol","3.5l water","consume healthy fats moderately"
"mobility improvement","arthritis","high fiber","millets and vegetables","deep fried food","2.5l water","include vegetables in every meal"
"core stability","shin splints","balanced diet","paneer and chapati","processed snacks","3l water","eat smaller meals frequently"
